epoch,lr,train_loss,train_acc1,val_loss,val_acc1,val_acc5,latency_ms
1,0.000100,5.3838,3.19,4.1352,8.41,26.60,3.4396
2,0.000200,5.1031,6.83,3.7957,14.55,40.41,3.1405
3,0.000300,4.9086,10.10,3.5442,20.51,48.73,3.2235
4,0.000400,4.7393,13.19,3.4078,23.15,53.21,3.8696
5,0.000500,4.6082,15.83,3.2250,27.72,58.25,3.5155
6,0.000600,4.4763,18.25,3.1265,30.48,60.57,3.6310
7,0.000700,4.3868,20.51,2.9899,33.83,64.73,3.8905
8,0.000800,4.2941,22.05,2.8569,36.98,68.77,3.9765
9,0.000900,4.1798,24.43,2.7475,40.15,71.11,3.6830
10,0.001000,4.0841,26.68,2.6838,41.18,73.38,3.2017
11,0.001000,4.0190,27.41,2.5926,44.33,75.24,3.4419
12,0.001000,3.9116,29.78,2.5201,45.96,76.94,3.7889
13,0.001000,3.8769,30.51,2.4742,46.74,77.73,3.3334
14,0.000999,3.7920,33.56,2.4347,48.49,78.76,3.6188
15,0.000999,3.7012,33.97,2.3896,49.84,80.17,3.4684
16,0.000998,3.6501,35.17,2.3119,52.14,81.41,4.2708
17,0.000998,3.5952,35.59,2.2507,53.44,82.36,4.4218
18,0.000997,3.5605,36.97,2.2372,54.22,83.31,3.9599
19,0.000996,3.4979,39.40,2.2274,54.56,83.56,3.3845
20,0.000994,3.4192,40.62,2.1848,55.50,84.12,3.3301
21,0.000993,3.4098,39.82,2.1926,55.34,83.79,3.5463
22,0.000992,3.3639,40.59,2.1299,57.11,84.88,3.7008
23,0.000990,3.3227,41.94,2.1006,58.12,85.77,3.5122
24,0.000988,3.3810,39.88,2.1061,57.90,85.04,3.5781
25,0.000987,3.3261,43.11,2.0841,58.89,85.79,3.8369
26,0.000985,3.2915,41.65,2.0873,59.53,85.75,4.3428
27,0.000983,3.2989,40.69,2.0295,60.23,86.70,3.9383
28,0.000980,3.2012,45.39,2.0868,59.50,86.71,3.2088
29,0.000978,3.1416,47.01,2.0513,60.18,86.68,3.8549
30,0.000976,3.2077,45.76,2.0119,61.13,87.49,3.6831
31,0.000973,3.1035,47.19,1.9809,61.54,87.42,3.5660
32,0.000970,3.0788,48.25,1.9795,61.48,87.62,3.6208
33,0.000967,3.0875,47.22,1.9954,61.95,87.82,4.6505
34,0.000964,3.1355,45.66,2.0080,60.79,87.23,4.8709
35,0.000961,3.0531,49.56,1.9803,62.38,88.08,3.3205
36,0.000958,3.1497,45.60,1.9595,63.09,88.09,3.7363
37,0.000955,3.0837,48.17,1.9445,62.75,88.62,4.3202
38,0.000951,3.0025,49.71,1.9202,63.70,88.67,3.4648
39,0.000947,2.9860,49.92,1.9492,64.15,88.87,3.6161
40,0.000944,3.0537,48.40,1.9405,63.59,88.80,4.0227
41,0.000940,2.9273,51.38,1.9065,64.58,88.68,4.4496
42,0.000936,2.9444,49.57,1.9192,63.73,88.99,3.3571
43,0.000932,2.9208,52.69,1.8988,64.64,88.71,3.4804
44,0.000927,2.9828,49.81,1.9454,64.26,88.58,3.6631
45,0.000923,2.8657,52.93,1.9034,64.95,88.83,3.5095
46,0.000919,2.8205,53.71,1.8838,65.61,89.16,3.9698
47,0.000914,2.8784,52.42,1.8959,64.65,89.06,4.6006
48,0.000909,2.8599,53.37,1.8773,65.44,89.04,4.0193
49,0.000905,2.8673,51.95,1.8643,66.35,89.74,3.1260
50,0.000900,2.8325,53.90,1.8684,65.16,89.30,3.3835
51,0.000895,2.7563,55.18,1.8767,65.98,89.67,3.6006
52,0.000889,2.8308,55.42,1.8755,65.93,89.49,3.4053
53,0.000884,2.7983,55.21,1.8810,66.10,89.55,4.2199
54,0.000879,2.8319,54.02,1.8438,66.59,89.66,3.7821
55,0.000873,2.6958,57.92,1.9033,65.99,89.37,3.0470
56,0.000868,2.7507,56.13,1.8577,66.24,89.18,3.4724
57,0.000862,2.7106,58.10,1.8378,66.26,89.88,3.6104
58,0.000856,2.6784,58.94,1.8648,66.88,89.45,3.9542
59,0.000851,2.7758,55.55,1.8377,67.33,89.71,3.4457
60,0.000845,2.7123,55.52,1.8562,67.20,89.82,3.7972
61,0.000839,2.7070,56.55,1.8610,66.57,89.68,4.8400
62,0.000833,2.6527,58.23,1.8329,67.23,89.77,3.5087
63,0.000826,2.6112,60.31,1.8396,67.04,89.79,3.4931
64,0.000820,2.7215,56.59,1.8480,67.00,89.78,3.4696
65,0.000814,2.6192,57.41,1.8202,67.59,90.06,3.5984
66,0.000807,2.7362,56.20,1.8035,67.81,90.55,4.1551
67,0.000801,2.6561,59.22,1.8248,68.13,90.18,4.2920
68,0.000794,2.6000,59.31,1.8179,67.62,90.13,3.5758
69,0.000787,2.6415,58.82,1.8305,67.25,90.07,3.4508
70,0.000780,2.6102,59.35,1.8202,68.38,89.81,3.3684
71,0.000773,2.5515,61.77,1.8231,67.98,90.14,3.4705
72,0.000767,2.5989,59.64,1.8358,67.83,90.06,3.5743
73,0.000759,2.5709,61.80,1.8121,68.46,90.32,3.8676
74,0.000752,2.6453,58.09,1.8114,68.36,90.49,3.9519
75,0.000745,2.5646,59.91,1.8360,67.91,89.84,4.2486
76,0.000738,2.5689,60.12,1.8147,68.33,90.16,3.4566
77,0.000731,2.4788,62.42,1.8348,68.09,89.54,3.5642
78,0.000723,2.4453,64.47,1.8314,68.00,89.43,3.6877
79,0.000716,2.5921,62.39,1.7938,68.62,89.80,4.2766
80,0.000708,2.5104,62.33,1.8316,68.79,90.07,4.6302
81,0.000701,2.5736,59.65,1.8450,68.93,90.14,4.2922
82,0.000693,2.4524,63.66,1.8162,68.71,90.52,3.3797
83,0.000686,2.4442,64.15,1.8093,68.90,89.96,3.5938
84,0.000678,2.4375,64.77,1.8056,69.03,90.25,3.6358
85,0.000670,2.4803,61.58,1.8241,68.54,90.25,3.6434
86,0.000662,2.4127,67.63,1.7991,68.69,90.02,4.0333
87,0.000655,2.4521,63.59,1.8369,68.07,89.88,3.5715
88,0.000647,2.5335,62.57,1.7946,69.04,90.42,3.4242
89,0.000639,2.3646,65.64,1.8256,68.83,89.75,3.5485
90,0.000631,2.5032,60.93,1.7991,69.38,90.35,3.6156
91,0.000623,2.4600,65.09,1.7903,69.65,90.57,3.5492
92,0.000615,2.4228,64.77,1.7900,69.64,90.42,4.1138
93,0.000607,2.4196,66.84,1.8082,69.52,89.68,3.2021
94,0.000599,2.3453,66.60,1.7822,69.35,90.67,3.5571
95,0.000590,2.3821,66.88,1.8137,69.24,89.90,3.4343
96,0.000582,2.3647,65.94,1.7949,68.91,90.16,3.6062
97,0.000574,2.4398,64.91,1.7700,69.60,90.39,3.7191
98,0.000566,2.4178,65.23,1.7820,70.10,90.35,4.2269
99,0.000558,2.3732,66.51,1.8104,69.01,90.17,4.0111
100,0.000550,2.4347,64.59,1.8011,70.05,90.54,3.2964
101,0.000541,2.4558,65.27,1.7731,70.03,90.40,3.6150
102,0.000533,2.3993,67.22,1.7681,69.98,90.95,3.8861
103,0.000525,2.4597,65.09,1.7749,70.19,90.48,3.8003
104,0.000517,2.3299,67.87,1.7860,69.92,90.01,3.6763
105,0.000508,2.2930,67.83,1.7712,70.36,90.27,4.5709
106,0.000500,2.3908,64.03,1.7718,70.50,90.52,3.9139
107,0.000492,2.3610,67.08,1.8292,69.32,90.27,3.4486
108,0.000483,2.2915,66.19,1.7627,70.83,90.56,3.5690
109,0.000475,2.4588,64.60,1.7817,70.18,90.56,3.5091
110,0.000467,2.3845,66.49,1.7749,70.57,90.82,3.4145
111,0.000459,2.3389,67.72,1.7425,70.84,90.56,3.6920
112,0.000450,2.3340,69.23,1.7856,70.46,90.58,3.9815
113,0.000442,2.3244,66.98,1.7598,71.21,90.53,3.1595
114,0.000434,2.2943,67.76,1.7491,71.01,90.57,3.5324
115,0.000426,2.4348,66.13,1.7698,70.79,90.22,3.4226
116,0.000418,2.3230,67.92,1.7703,70.76,90.51,3.7820
117,0.000410,2.3172,65.60,1.7365,71.83,90.49,4.7123
118,0.000401,2.3088,68.51,1.7872,70.30,90.50,3.1478
119,0.000393,2.3272,65.28,1.7693,71.37,91.27,3.6305
120,0.000385,2.1462,69.10,1.7662,70.85,90.43,3.5453
121,0.000377,2.1662,71.02,1.7663,70.99,90.49,4.3160
122,0.000369,2.3095,66.93,1.7582,71.43,91.22,3.0421
123,0.000361,2.1631,71.20,1.7279,71.96,90.71,3.5214
124,0.000353,2.2874,68.93,1.7375,71.86,91.29,3.3893
125,0.000345,2.1451,73.02,1.7469,71.56,90.93,3.9592
126,0.000338,2.1836,70.52,1.7394,72.06,91.33,3.7395
127,0.000330,2.1977,70.34,1.7402,71.49,90.67,3.5907
128,0.000322,2.3067,67.21,1.7557,71.37,91.01,3.7023
129,0.000314,2.1977,69.16,1.7262,71.70,91.06,4.6094
130,0.000307,2.2709,67.98,1.7384,71.84,91.20,3.3997
131,0.000299,2.2494,69.59,1.7528,72.05,91.09,3.4727
132,0.000292,2.1800,70.04,1.7450,71.56,91.07,3.5854
133,0.000284,2.2127,70.20,1.7331,72.38,90.86,3.7702
134,0.000277,2.2100,66.50,1.7131,72.15,90.74,4.3918
135,0.000269,2.0770,72.12,1.7135,72.56,90.77,3.3560
136,0.000262,2.1115,71.49,1.7243,72.37,91.16,4.1110
137,0.000255,2.1812,71.94,1.7206,72.36,91.03,3.4580
138,0.000248,2.1332,71.78,1.7217,72.54,91.07,3.3967
139,0.000241,2.1362,71.73,1.7019,72.90,91.03,5.1109
140,0.000233,2.2397,72.12,1.7420,72.09,90.99,3.2884
141,0.000227,2.2236,69.45,1.7083,72.45,91.40,3.5716
142,0.000220,2.1386,72.59,1.6890,73.31,91.39,3.7967
143,0.000213,2.1682,71.46,1.6994,72.71,91.22,3.5085
144,0.000206,2.1124,72.29,1.7029,73.26,91.47,4.2442
145,0.000199,2.2137,71.01,1.7481,71.96,91.39,4.1386
146,0.000193,2.1619,73.51,1.7230,72.74,91.28,3.1631
147,0.000186,2.1670,70.99,1.7266,72.43,91.25,3.9768
148,0.000180,2.1466,72.40,1.6868,73.03,91.30,3.5046
149,0.000174,2.1043,73.42,1.6946,73.11,91.20,3.3866
150,0.000167,2.0886,76.20,1.6889,73.34,91.18,4.5880
151,0.000161,2.1364,69.80,1.7155,73.34,91.39,3.0384
152,0.000155,2.1002,72.90,1.6893,73.31,91.33,3.5272
153,0.000149,2.1402,71.18,1.6972,73.49,91.53,3.4628
154,0.000144,2.0263,74.61,1.6912,73.06,91.48,3.5440
155,0.000138,2.0570,72.74,1.6984,73.30,91.41,4.6499
156,0.000132,2.0965,71.45,1.7079,73.06,91.67,3.4651
157,0.000127,2.0846,72.34,1.6972,73.36,91.40,3.5289
158,0.000121,2.0654,72.91,1.6941,73.59,91.64,3.8232
159,0.000116,2.0453,72.88,1.6735,73.59,91.73,3.5431
160,0.000111,2.0281,73.43,1.6751,73.49,91.75,4.3162
161,0.000105,2.1466,71.62,1.6992,73.32,91.82,3.6216
162,0.000100,2.1157,73.36,1.6916,74.02,91.78,3.2679
163,0.000095,2.0192,74.53,1.6903,73.58,91.62,3.4214
164,0.000091,2.0933,74.30,1.6704,73.79,91.81,4.2167
165,0.000086,2.0221,75.85,1.6823,73.94,91.84,4.5046
166,0.000081,2.0419,72.32,1.6559,73.89,91.68,4.3476
167,0.000077,2.2123,72.14,1.6752,73.68,91.83,3.6140
168,0.000073,1.9477,77.56,1.6538,74.05,91.89,3.4056
169,0.000068,2.0208,75.27,1.6527,74.38,91.86,3.8811
170,0.000064,2.1651,71.72,1.6611,74.33,91.90,4.1093
171,0.000060,1.9836,76.21,1.6787,74.12,91.84,3.9850
172,0.000056,2.0073,72.75,1.6848,74.13,91.93,3.6837
173,0.000053,2.0717,73.78,1.6644,74.10,92.00,3.6568
174,0.000049,2.1128,72.02,1.6951,73.89,92.18,4.1769
175,0.000045,1.9591,74.48,1.6691,74.12,92.13,3.1215
176,0.000042,2.0445,75.22,1.6600,74.48,92.10,4.4741
177,0.000039,2.1426,73.21,1.6886,73.97,91.95,3.4814
178,0.000036,2.0599,75.03,1.6869,73.96,92.07,3.5869
179,0.000033,1.8825,79.57,1.6501,74.56,91.96,3.6988
180,0.000030,2.0720,74.12,1.6647,74.44,92.04,3.2640
181,0.000027,1.8921,79.00,1.6447,74.71,92.01,3.3545
182,0.000024,2.0269,74.54,1.6619,74.25,92.11,3.2256
183,0.000022,1.9873,73.74,1.6614,74.35,92.05,3.5775
184,0.000020,1.9286,76.40,1.6535,74.54,92.12,4.5601
185,0.000017,1.9584,77.53,1.6635,74.24,92.11,3.4262
186,0.000015,2.1141,71.49,1.6884,74.14,92.10,3.7622
187,0.000013,2.0420,74.47,1.6766,74.34,92.13,3.9751
188,0.000012,2.0123,74.69,1.6507,74.53,92.10,3.7007
189,0.000010,2.0374,74.05,1.6646,74.45,92.04,4.7628
190,0.000008,2.0438,76.05,1.6590,74.45,92.12,3.4960
191,0.000007,2.0966,73.80,1.6438,74.68,92.17,3.8656
192,0.000006,1.9409,74.52,1.6597,74.41,92.16,3.7976
193,0.000004,2.0318,75.33,1.6672,74.34,92.12,4.6418
194,0.000003,2.1060,73.83,1.6517,74.47,92.01,3.2581
195,0.000002,1.9854,74.79,1.6484,74.68,92.18,3.6020
196,0.000002,2.2008,70.76,1.6528,74.54,92.10,3.6459
197,0.000001,2.0304,74.60,1.6764,74.32,92.08,3.7978
198,0.000001,2.1489,71.51,1.6460,74.70,92.06,5.1798
199,0.000000,2.1022,73.89,1.6598,74.49,92.02,3.6192
200,0.000000,2.1012,75.61,1.6682,74.47,92.16,3.3364
